TIME_STAMP,TEMPERATURE,F_Temp,A_Temp
2019-4-11 03:00,70,65.45,65.81
2019-4-11 04:00,68,62.79,64.1
2019-4-11 05:00,67,60.54,63.04
2019-4-11 06:00,67,60.48,62.8
2019-4-11 07:00,67,60.08,62.19
2019-4-11 08:00,67,60.08,61.62
2019-4-11 09:00,67,60.88,60.08
2019-4-11 10:00,69,60.65,58.9
2019-4-11 11:00,70,60.1,57.95
2019-4-11 12:00,72,60.14,58.52
2019-4-11 13:00,74,63.5,61.8
2019-4-11 14:00,75,67.9,65.99
2019-4-11 15:00,77,71.61,69.61
2019-4-11 16:00,79,74.56,72.66
2019-4-11 17:00,80,77.36,74.81
2019-4-11 18:00,80,79.4,77.28
2019-4-11 19:00,81,80.87,78.98
2019-4-11 20:00,81,81.14,80.4
2019-4-11 21:00,81,81.6,80.4
2019-4-11 22:00,80,81.11,79.63
2019-4-11 23:00,79,79.93,76.92
2019-4-12 00:00,78,78.1,74.43
2019-4-12 01:00,78,75.28,72.41
2019-4-12 02:00,76,73.35,71.22
2019-4-12 03:00,76,72.19,72.7
2019-4-12 04:00,75,71.15,70.61
2019-4-12 05:00,75,70.2,68.47
2019-4-12 06:00,74,68.88,66.95
2019-4-12 07:00,74,68.71,66.43
2019-4-12 08:00,73,68.36,65.94
2019-4-12 09:00,73,69.38,65.3
2019-4-12 10:00,73,68.89,64.83
2019-4-12 11:00,73,68.39,64.58
2019-4-12 12:00,74,67.34,64.95
2019-4-12 13:00,75,67.53,65.78
2019-4-12 14:00,76,68.85,67.36
2019-4-12 15:00,77,70.53,69.44
2019-4-12 16:00,78,72.59,71.61
2019-4-12 17:00,79,75.01,74.13
2019-4-12 18:00,79,76.9,76.02
2019-4-12 19:00,79,78.23,77.47
2019-4-12 20:00,79,78.68,78.78
2019-4-12 21:00,78,78.31,79.68
2019-4-12 22:00,76,77.74,79.63
2019-4-12 23:00,75,76.72,78.22
2019-4-13 00:00,74,74.03,75.55
2019-4-13 01:00,72,68.99,72.89
2019-4-13 02:00,71,66.35,70.3
2019-4-13 03:00,70,64.53,68.62
2019-4-13 04:00,69,62.93,66.7
2019-4-13 05:00,68,61.78,65.97
2019-4-13 06:00,68,60.87,65.49
2019-4-13 07:00,67,59.57,64.26
2019-4-13 08:00,67,58.91,63.5
2019-4-13 09:00,67,58.42,62.53
2019-4-13 10:00,68,59.43,61.81
2019-4-13 11:00,69,59.81,61.31
2019-4-13 12:00,71,61.07,61.63
2019-4-13 13:00,72,64.25,63.64
2019-4-13 14:00,74,67.17,66.79
2019-4-13 15:00,75,69.47,70.1
2019-4-13 16:00,77,71.64,73.22
2019-4-13 17:00,78,73.5,75.82
2019-4-13 18:00,80,75.66,78.38
2019-4-13 19:00,80,77.99,80.03
2019-4-13 20:00,80,79.12,81.32
2019-4-13 21:00,80,81.13,81.66
2019-4-13 22:00,80,81.78,81.45
2019-4-13 23:00,79,81.17,79.55
2019-4-14 00:00,79,78.72,77.31
2019-4-14 01:00,78,75.91,75.65
2019-4-14 02:00,78,74.66,74.12
2019-4-14 03:00,78,73.55,73.08
2019-4-14 04:00,77,54.3,53.83
2019-4-14 05:00,77,52.77,51.42
2019-4-14 06:00,76,51.79,49.66
2019-4-14 07:00,76,50.91,48.26
2019-4-14 08:00,75,49.76,47.15
2019-4-14 09:00,75,48.55,45.79
2019-4-14 10:00,75,46.8,44.41
2019-4-14 11:00,74,45.46,43.14
2019-4-14 12:00,74,45.41,42.95
2019-4-14 13:00,73,46.89,44.78
2019-4-14 14:00,74,49.02,48
2019-4-14 15:00,75,52.39,51.1
2019-4-14 16:00,76,54.96,54.26
2019-4-14 17:00,77,57.04,57.49
2019-4-14 18:00,78,59.83,60.24
2019-4-14 19:00,78,62.34,63.24
2019-4-14 20:00,76,63.79,65.67
2019-4-14 21:00,74,65.11,67.34
2019-4-14 22:00,72,65.57,67.1
2019-4-14 23:00,70,64.69,65.35
2019-4-15 00:00,67,62.32,62.62
2019-4-15 01:00,65,57.75,59.87
2019-4-15 02:00,63,54.61,56.59
2019-4-15 03:00,62,52.12,54.57
2019-4-15 04:00,60,48.94,52.46
2019-4-15 05:00,58,46.98,50.93
2019-4-15 06:00,57,45.3,49.76
2019-4-15 07:00,55,44.1,48.62
2019-4-15 08:00,54,42.97,47.68
2019-4-15 09:00,54,43.05,46.5
2019-4-15 10:00,54,42.68,45.17
2019-4-15 11:00,55,42.12,43.8
2019-4-15 12:00,56,44.41,44.9
2019-4-15 13:00,57,52.46,49.44
2019-4-15 14:00,58,57.4,56.02
2019-4-15 15:00,60,61.23,62.07
2019-4-15 16:00,62,64.64,65.87
2019-4-15 17:00,64,67.29,69.27
2019-4-15 18:00,65,69.93,71.98
2019-4-15 19:00,66,72.4,74.89
2019-4-15 20:00,66,74.36,76.92
2019-4-15 21:00,66,75.76,78.08
2019-4-15 22:00,64,74.94,77.51
2019-4-15 23:00,63,75.2,75.52
